?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0001836>	"NCIT:C13275"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"EMAPA:36536"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"GO:0046541"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"MA:0002507"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"CALOHA:TS-1172"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"FMA:62971"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"BTO:0000121"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"ZFA:0005857"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"MA:0002513"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"MESH:D001646"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"UMLS:C0005388"
<http://purl.obolibrary.org/obo/UBERON_0001970>	<http://en.wikipedia.org/wiki/Bile>
<http://purl.obolibrary.org/obo/UBERON_0001970>	"NCIT:C13192"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"GAID:1157"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"ENVO:02000023"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"galen:Bile"
<http://purl.obolibrary.org/obo/UBERON_0001970>	<http://linkedlifedata.com/resource/umls/id/C0005388>
<http://purl.obolibrary.org/obo/UBERON_0001970>	<https://doi.org/10.1002/cphy.c120027>
<http://purl.obolibrary.org/obo/UBERON_0001969>	"GAID:1178"
<http://purl.obolibrary.org/obo/UBERON_0001969>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0001969>	<http://linkedlifedata.com/resource/umls/id/C0032105>
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MIAA:0000052"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MESH:D010949"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"EMAPA:35690"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"CALOHA:TS-0800"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"FMA:62970"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MAT:0000052"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"OpenCyc:Mx4rEg4ZYrIbEduAAAAOpmP6tw"
<http://purl.obolibrary.org/obo/UBERON_0001969>	<http://en.wikipedia.org/wiki/Blood_plasma>
<http://purl.obolibrary.org/obo/UBERON_0001969>	"NCIT:C13356"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"UMLS:C0032105"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"EFO:0001905"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"BTO:0000131"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MA:0002501"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://linkedlifedata.com/resource/umls/id/C0521421>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MAT:0000138"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EV:0100353"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"galen:Ear"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MA:0000236"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"UMLS:C0013443"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EMAPA:16193"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://en.wikipedia.org/wiki/Ear>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EHDAA:502"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"OpenCyc:Mx4rvVjL05wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"OpenCyc:Mx4rvViXS5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MIAA:0000138"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"UMLS:C0521421"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EFO:0000826"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"BTO:0000368"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://www.snomedbrowser.com/Codes/Details/1910005>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"XAO:0000189"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"CALOHA:TS-1165"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"VHOG:0000330"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"NCIT:C12394"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MESH:D004423"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://uri.neuinfo.org/nif/nifstd/birnlex_1062>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EHDAA2:0000423"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"FMA:52780"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"GAID:62"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://linkedlifedata.com/resource/umls/id/C0013443>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"AAO:0011014"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"GO:0042471"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"MA:0002539"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"GAID:1172"
<http://purl.obolibrary.org/obo/UBERON_0001089>	<http://linkedlifedata.com/resource/umls/id/C0038984>
<http://purl.obolibrary.org/obo/UBERON_0001089>	"ENVO:02000025"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"NCIT:C13280"
<http://purl.obolibrary.org/obo/UBERON_0001089>	<http://en.wikipedia.org/wiki/Sweat>
<http://purl.obolibrary.org/obo/UBERON_0001089>	"UMLS:C0038984"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"OpenCyc:Mx4rvVjJtZwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"BTO:0001254"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"FMA:12275"
<http://purl.obolibrary.org/obo/UBERON_0001089>	"MESH:D013542"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"MIAA:0000084"
<http://purl.obolibrary.org/obo/UBERON_0002371>	<http://www.snomedbrowser.com/Codes/Details/421320006>
<http://purl.obolibrary.org/obo/UBERON_0002371>	"BTO:0000141"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"EV:0100046"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"MAT:0000084"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"galen:BoneMarrow"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"MP:0002397"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"EMAPA:32760"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"MESH:D001853"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"VHOG:0001218"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"CALOHA:TS-0087"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"MA:0000134"
<http://purl.obolibrary.org/obo/UBERON_0002371>	<http://en.wikipedia.org/wiki/Bone_marrow>
<http://purl.obolibrary.org/obo/UBERON_0002371>	"UMLS:C0005953"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"BTO:0000829"
<http://purl.obolibrary.org/obo/UBERON_0002371>	<http://linkedlifedata.com/resource/umls/id/C0005953>
<http://purl.obolibrary.org/obo/UBERON_0002371>	"AAO:0011007"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"XAO:0000123"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"EFO:0000868"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"OpenCyc:Mx4rvVm-FpwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"FMA:9608"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"MGI:cwg"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"GAID:1287"
<http://purl.obolibrary.org/obo/UBERON_0002371>	"NCIT:C12431"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"EMAPA:36535"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"BTO:0002977"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"BTO:0002979"
<http://purl.obolibrary.org/obo/UBERON_0000456>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000456>	"FMA:9675"
<http://purl.obolibrary.org/obo/UBERON_0000456>	<http://linkedlifedata.com/resource/umls/id/C1516992>
<http://purl.obolibrary.org/obo/UBERON_0000456>	"galen:Secretion"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"AEO:0001005"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"UMLS:C1516992"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"MA:0002504"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"MESH:D012634"
<http://purl.obolibrary.org/obo/UBERON_0000456>	"NCIT:C34062"
<http://purl.obolibrary.org/obo/UBERON_0000021>	"CALOHA:TS-0051"
<http://purl.obolibrary.org/obo/UBERON_0000021>	<https://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000021>	"FMA:71012"
<http://purl.obolibrary.org/obo/UBERON_0000021>	<http://www.snomedbrowser.com/Codes/Details/276160000>
<http://purl.obolibrary.org/obo/UBERON_0000992>	"AAO:0000371"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"MP:0001126"
<http://purl.obolibrary.org/obo/UBERON_0000992>	<http://www.snomedbrowser.com/Codes/Details/181464007>
<http://purl.obolibrary.org/obo/UBERON_0000992>	"OBOL:automatic"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"EV:0100111"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"MESH:D010053"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"BSA:0000080"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"FBbt:00004865"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"ZFA:0000403"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"BTO:0000975"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"GO:0061039"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"MA:0000384"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"ISBN:0-683-40008-8"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"GAID:367"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"VHOG:0000251"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"EFO:0000973"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"CALOHA:TS-0730"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"EHDAA2:0001360"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"MIAA:0000125"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"FMA:7209"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"NCIT:C12404"
<http://purl.obolibrary.org/obo/UBERON_0000992>	<http://en.wikipedia.org/wiki/Ovary>
<http://purl.obolibrary.org/obo/UBERON_0000992>	"EMAPA:17962"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"TAO:0000403"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"XAO:0000258"
<http://purl.obolibrary.org/obo/UBERON_0000992>	<http://linkedlifedata.com/resource/umls/id/C0029939>
<http://purl.obolibrary.org/obo/UBERON_0000992>	"BILA:0000125"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"UMLS:C0029939"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"EHDAA:8124"
<http://purl.obolibrary.org/obo/UBERON_0000992>	"OpenCyc:Mx4rvVi9QJwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0009564>	<http://www.ncbi.nlm.nih.gov/pubmed/11710767>
<http://purl.obolibrary.org/obo/UBERON_0009564>	"MESH:D006724"
<http://purl.obolibrary.org/obo/UBERON_0002358>	<http://linkedlifedata.com/resource/umls/id/C0031153>
<http://purl.obolibrary.org/obo/UBERON_0002358>	"MESH:A01.047.025.600"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"galen:Peritoneum"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"XAO:0000139"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"MA:0000449"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"VHOG:0001257"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"CALOHA:TS-2072"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"AAO:0010814"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"ZFA:0005120"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"GAID:18"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"FMA:9584"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"TAO:0005120"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"OpenCyc:Mx4rvjJ72ZwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002358>	<http://en.wikipedia.org/wiki/Peritoneum>
<http://purl.obolibrary.org/obo/UBERON_0002358>	"BTO:0001472"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"EV:0100087"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"UMLS:C0031153"
<http://purl.obolibrary.org/obo/UBERON_0002358>	"NCIT:C12770"
<http://purl.obolibrary.org/obo/UBERON_0034944>	"FMA:55268"
<http://purl.obolibrary.org/obo/UBERON_0005172>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0005172>	"MA:0000522"
<http://purl.obolibrary.org/obo/UBERON_0005172>	<http://www.snomedbrowser.com/Codes/Details/272631008>
<http://purl.obolibrary.org/obo/UBERON_0002268>	"FBbt:00005158"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"FMA:77659"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"BTO:0001772"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"VHOG:0000287"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"XAO:0000273"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"AAO:0010180"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"UBERON:cjm"
<http://purl.obolibrary.org/obo/UBERON_0013515>	"FMA:18302"
<http://purl.obolibrary.org/obo/UBERON_0013515>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0001968>	"UMLS:C2756969"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"EMAPA:31488"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"MESH:D012661"
<http://purl.obolibrary.org/obo/UBERON_0001968>	<http://linkedlifedata.com/resource/umls/id/C1518159>
<http://purl.obolibrary.org/obo/UBERON_0001968>	"NCIT:C13277"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"MA:0002522"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"GAID:1169"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"CALOHA:TS-0917"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"UMLS:C1518159"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"OpenCyc:Mx4rvgC-zpwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"NCIT:C13713"
<http://purl.obolibrary.org/obo/UBERON_0001968>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0001968>	"BTO:0001230"
<http://purl.obolibrary.org/obo/UBERON_0001968>	"FMA:62966"
<http://purl.obolibrary.org/obo/UBERON_0001968>	<http://en.wikipedia.org/wiki/Semen>
<http://purl.obolibrary.org/obo/UBERON_0001968>	<http://linkedlifedata.com/resource/umls/id/C2756969>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EHDAA2:0001824"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"NCIT:C33224"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"VHOG:0001407"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"HAO:0000930"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<http://linkedlifedata.com/resource/umls/id/C0935626>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"GAID:63"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"BTO:0000202"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EHDAA:500"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<https://github.com/obophenotype/uberon/issues/549>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"OBOL:automatic"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EMAPA:35955"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"UMLS:C0935626"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"FBbt:00005155"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"WBbt:0006929"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<https://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"BSA:0000121"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"AEO:0000094"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"OBOL:accepted"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"CALOHA:TS-2043"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"MA:0000017"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<http://www.snomedbrowser.com/Codes/Details/244485009>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"MESH:D012679"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"GAID:288"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"ZFA:0000123"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"EFO:0000887"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"MAT:0000097"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"AAO:0010111"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"VHOG:0000257"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"MESH:D008099"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"EMAPA:16846"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"OpenCyc:Mx4rvVimppwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"BTO:0000759"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"MIAA:0000097"
<http://purl.obolibrary.org/obo/UBERON_0002107>	<http://en.wikipedia.org/wiki/Liver>
<http://purl.obolibrary.org/obo/UBERON_0002107>	"UMLS:C0023884"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"XAO:0000133"
<http://purl.obolibrary.org/obo/UBERON_0002107>	<http://linkedlifedata.com/resource/umls/id/C0023884>
<http://purl.obolibrary.org/obo/UBERON_0002107>	"EHDAA:2197"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"galen:Liver"
<http://purl.obolibrary.org/obo/UBERON_0002107>	<http://www.snomedbrowser.com/Codes/Details/181268008>
<http://purl.obolibrary.org/obo/UBERON_0002107>	"EHDAA2:0000997"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"TAO:0000123"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"CALOHA:TS-0564"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"EV:0100089"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"FMA:7197"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"NCIT:C12392"
<http://purl.obolibrary.org/obo/UBERON_0002107>	"MA:0000358"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"XAO:0003103"
<http://purl.obolibrary.org/obo/UBERON_0001705>	<https://github.com/obophenotype/uberon/issues/120>
<http://purl.obolibrary.org/obo/UBERON_0001705>	<http://www.snomedbrowser.com/Codes/Details/72651009>
<http://purl.obolibrary.org/obo/UBERON_0001705>	"EV:0100159"
<http://purl.obolibrary.org/obo/UBERON_0001705>	<http://linkedlifedata.com/resource/umls/id/C0027342>
<http://purl.obolibrary.org/obo/UBERON_0001705>	<http://en.wikipedia.org/wiki/Nail_(anatomy)>
<http://purl.obolibrary.org/obo/UBERON_0001705>	"GAID:1320"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"MA:0002703"
<http://purl.obolibrary.org/obo/UBERON_0001705>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0001705>	"EFO:0000956"
<http://purl.obolibrary.org/obo/UBERON_0001705>	<http://en.wikipedia.org/wiki/Claw>
<http://purl.obolibrary.org/obo/UBERON_0001705>	"CALOHA:TS-2034"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"MAT:0000158"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"MIAA:0000158"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"galen:Nail"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"EMAPA:35580"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"NCIT:C33156"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"OpenCyc:Mx4rvVjJv5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"UMLS:C0027342"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"BTO:0001719"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"MESH:D009262"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"VHOG:0001361"
<http://purl.obolibrary.org/obo/UBERON_0001705>	"FMA:54326"
<http://purl.obolibrary.org/obo/UBERON_0008811>	"HAO:0000091"
<http://purl.obolibrary.org/obo/UBERON_0008811>	"FBbt:00004850"
<http://purl.obolibrary.org/obo/UBERON_0008811>	"TAO:0002036"
<http://purl.obolibrary.org/obo/UBERON_0008811>	"AAO:0010255"
<http://purl.obolibrary.org/obo/UBERON_0008811>	<http://en.wikipedia.org/wiki/Intromittent_organ>
<http://purl.obolibrary.org/obo/UBERON_0008811>	"TGMA:0000585"
<http://purl.obolibrary.org/obo/UBERON_0001037>	<http://en.wikipedia.org/wiki/Hair>
<http://purl.obolibrary.org/obo/UBERON_0001037>	<http://linkedlifedata.com/resource/umls/id/C0018494>
<http://purl.obolibrary.org/obo/UBERON_0001037>	"UMLS:C0018494"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"GAID:71"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"EMAPA:18769"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"NCIT:C32705"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"OpenCyc:Mx4rvVjOX5wpEbGdrcN5Y29ycA-Mp88EdaAAACgycbRww"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"BTO:0001501"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"MIAA:0000160"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"MA:0000155"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"MAT:0000160"
<http://purl.obolibrary.org/obo/UBERON_0001037>	<http://www.snomedbrowser.com/Codes/Details/361702001>
<http://purl.obolibrary.org/obo/UBERON_0001037>	"EFO:0000958"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"MESH:D006197"
<http://purl.obolibrary.org/obo/UBERON_0001037>	"VHOG:0001191"
